date,ticker,shares,entry_price,exit_price,entry_session,entry_type,exit_session,catalyst,sector,pnl_pct,pnl_dollar,exit_reason
2026-08-07,INTC,0.752483,99.67,99.6322,10AM,scanner,10AM,sector_momentum,tech,-0.04,-0.03,stop_loss
2026-08-07,TTMI,1.000000,143.07,137.7001,10AM,manual,10AM,earnings_beat,tech,-3.75,-5.37,stop_loss
2026-08-10,SHOP,0.513281,146.12,153.9001,10AM,scanner,10AM,earnings_beat,tech,5.32,3.99,take_profit
2026-08-10,CRL,0.289530,259.04,274.3101,10AM,scanner,3:15PM,earnings_beat,healthcare,5.90,4.42,take_profit
2026-08-10,PLTR,2.000000,171.975,176.0458,10AM,manual,3:15PM,earnings_beat,tech,2.37,8.14,stop_loss
2026-08-14,SNDK,0.048102,1559.1699,1647.00,12PM,scanner,9:30AM,other,tech,5.63,4.22,stale_order
2026-08-18,AMAT,0.470792,531.02,510.50,manual,manual,9:30AM,none,tech,-3.86,-9.66,user_manual
2026-08-18,FOXA,3.326340,68.64,69.83,10AM,manual,3:15PM,earnings_beat,other,1.73,3.96,stop_loss
2026-08-26,TGT,2.485629,160.93,162.41,3:15PM,manual,10AM,earnings_beat,consumer,0.92,3.68,stop_loss
2026-08-27,MRK,1.631896,153.20,149.51,3:15PM,manual,9:30AM,fda,healthcare,-2.41,-6.02,stop_loss
2026-08-27,ANF,1.770653,148.9168,143.00,3:15PM,scanner,9:30AM,earnings_beat,consumer,-3.97,-10.48,stop_loss
2026-08-27,VEEV,0.454503,296.0594,283.6239,10AM,scanner,3:15PM,earnings_beat,healthcare,-4.20,-5.65,stop_loss
2026-08-28,DG,1.022491,131.61,121.75,10AM,scanner,9:30AM,earnings_beat,consumer,-7.49,-10.08,stop_loss
2026-09-01,CRM,0.543874,247.41,257.90,3:15PM,scanner,9:30AM,earnings_beat,tech,4.24,5.71,stop_loss
2026-09-02,DUOL,1.415125,158.29,156.2546,3:15PM,scanner,3:15PM,analyst_upgrade,tech,-1.29,-2.88,discretionary
2026-09-04,DELL,0.321799,522.53,517.69,10AM,catalyst_watch,3:15PM,earnings_beat,tech,-0.93,-1.56,discretionary
2026-09-04,KLAC,0.911421,184.49,184.47,10AM,scanner,3:15PM,sector_momentum,tech,-0.01,-0.02,discretionary
